movie_name,year_released,runtime_in_min,genre,revenues,imdb_rating,user_votes,director,actor
King Arthur: Legend of the Sword,2017,126,"Action, Adventure, Drama",39175066.0,6.7,184939,Jeff Tomsic,"Jeremy Renner, Ed Helms, Jake Johnson, Jon Hamm"
Mother!,2017,121,"Drama, Horror, Mystery",17800004.0,6.6,181760,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
The Hitman's Bodyguard,2017,118,"Action, Comedy, Crime",75468583.0,6.9,178749,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
"I, Tonya",2017,119,"Biography, Comedy, Drama",30014539.0,7.5,170069,Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi"
Atomic Blonde,2017,115,"Action, Thriller",51687870.0,6.7,168003,"Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law"
The Mummy,2017,111,"Action, Adventure, Fantasy",80101125.0,5.4,167449,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver"
Darkest Hour,2017,125,"Biography, Drama, Family",56468410.0,7.4,162671,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth"
Valerian and the City of a Thousand Planets,2017,136,"Action, Adventure, Family",41189488.0,6.5,155607,Chad Stahelski,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne"
Baywatch,2017,116,"Action, Comedy, Crime",58060186.0,5.5,154170,Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi"
American Made,2017,115,"Action, Biography, Comedy",51342000.0,7.2,151333,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe"
Avengers: Infinity War,2018,149,"Action, Adventure, Sci-Fi",678815482.0,8.4,782407,nan,nan
Black Panther,2018,134,"Action, Adventure, Sci-Fi",700059566.0,7.3,585754,nan,nan
Deadpool 2,2018,119,"Action, Adventure, Comedy",324591735.0,7.7,454203,nan,nan
Bohemian Rhapsody,2018,134,"Biography, Drama, Music",216428042.0,8.0,427158,nan,nan
A Quiet Place,2018,90,"Drama, Horror, Sci-Fi",188024361.0,7.5,384471,nan,nan
Ready Player One,2018,140,"Action, Adventure, Sci-Fi",137690172.0,7.5,347070,nan,nan
Aquaman,2018,143,"Action, Adventure, Fantasy",335061807.0,7.0,340849,nan,nan
Venom,2018,112,"Action, Adventure, Sci-Fi",213515506.0,6.7,335327,nan,nan
Green Book,2018,130,"Biography, Comedy, Drama",85080171.0,8.2,329996,nan,nan
Spider-Man: Into the Spider-Verse,2018,117,"Animation, Action, Adventure",190241310.0,8.4,324185,nan,nan
A Star Is Born,2018,136,"Drama, Music, Romance",215288866.0,7.7,312012,nan,nan
Ant-Man and the Wasp,2018,118,"Action, Adventure, Comedy",216648740.0,7.1,289951,nan,nan
Mission: Impossible - Fallout,2018,147,"Action, Adventure, Thriller",220159104.0,7.7,275200,nan,nan
Solo: A Star Wars Story,2018,135,"Action, Adventure, Sci-Fi",213767512.0,6.9,272958,nan,nan
Annihilation,2018,115,"Adventure, Drama, Horror",32732301.0,6.9,266688,nan,nan
Jurassic World: Fallen Kingdom,2018,128,"Action, Adventure, Sci-Fi",417719760.0,6.2,251789,nan,nan
Incredibles 2,2018,118,"Animation, Action, Adventure",608581744.0,7.6,235513,nan,nan
Hereditary,2018,127,"Drama, Horror, Mystery",44069456.0,7.3,213066,nan,nan
Fantastic Beasts: The Crimes of Grindelwald,2018,134,"Adventure, Family, Fantasy",159555901.0,6.6,204901,nan,nan
BlacKkKlansman,2018,135,"Biography, Crime, Drama",49275340.0,7.5,197108,nan,nan
Game Night,2018,100,"Action, Comedy, Crime",69179066.0,6.9,193493,nan,nan
Tomb Raider,2018,119,"Action, Adventure, Fantasy",58250803.0,6.3,183196,nan,nan
Ocean's Eight,2018,110,"Action, Comedy, Crime",140218711.0,6.2,171750,nan,nan
The Favourite,2018,119,"Biography, Comedy, Drama",34366783.0,7.5,160138,nan,nan
Red Sparrow,2018,140,"Action, Drama, Thriller",46874505.0,6.6,157009,nan,nan
First Man,2018,141,"Biography, Drama, History",44936545.0,7.3,155024,nan,nan
Upgrade,2018,100,"Action, Horror, Sci-Fi",11977130.0,7.5,139464,nan,nan
The Meg,2018,113,"Action, Horror, Sci-Fi",143005856.0,5.7,138069,nan,nan
Rampage,2018,107,"Action, Adventure, Sci-Fi",101028233.0,6.1,135442,nan,nan
Isle of Dogs,2018,101,"Animation, Adventure, Comedy",32015231.0,7.9,130096,nan,nan
Crazy Rich Asians,2018,120,"Comedy, Drama, Romance",174532921.0,6.9,128521,nan,nan
Bumblebee,2018,114,"Action, Adventure, Sci-Fi",127195589.0,6.8,127176,nan,nan
Searching,2018,102,"Drama, Mystery, Thriller",26020957.0,7.6,126902,nan,nan
Ralph Breaks the Internet,2018,112,"Animation, Adventure, Comedy",201091711.0,7.1,121109,nan,nan
Bad Times at the El Royale,2018,141,"Crime, Drama, Mystery",17839115.0,7.1,120664,nan,nan
The Equalizer 2,2018,121,"Action, Crime, Thriller",102084362.0,6.7,120358,nan,nan
Sicario: Day of the Soldado,2018,122,"Action, Adventure, Crime",50072235.0,7.1,116829,nan,nan
A Simple Favor,2018,117,"Comedy, Crime, Drama",53548586.0,6.8,114908,nan,nan
The Predator,2018,107,"Action, Adventure, Sci-Fi",51024708.0,5.4,110855,nan,nan
Halloween,2018,106,"Horror, Thriller",159342015.0,6.6,110057,nan,nan
The Nun,2018,96,"Horror, Mystery, Thriller",117450119.0,5.3,109937,nan,nan
Vice,2018,132,"Biography, Comedy, Drama",47836282.0,7.2,109740,nan,nan
Tag,2018,100,Comedy,54547470.0,6.5,105991,nan,nan
Joker,2019,122,"Crime, Drama, Thriller",335451311.0,8.5,815322,nan,nan
Avengers: Endgame,2019,181,"Action, Adventure, Drama",858373000.0,8.4,732003,nan,nan
Once Upon a Time... in Hollywood,2019,161,"Comedy, Drama",142502728.0,7.7,482707,nan,nan
Gisaengchung,2019,132,"Comedy, Drama, Thriller",53367844.0,8.6,434602,nan,nan
Captain Marvel,2019,123,"Action, Adventure, Sci-Fi",426829839.0,6.9,415829,nan,nan
Star Wars: Episode IX - The Rise of Skywalker,2019,142,"Action, Adventure, Fantasy",515202542.0,6.7,335029,nan,nan
1917,2019,119,"Drama, War",159227644.0,8.3,333229,nan,nan
Knives Out,2019,130,"Comedy, Crime, Drama",165359751.0,7.9,331546,nan,nan
Spider-Man: Far from Home,2019,129,"Action, Adventure, Sci-Fi",390532085.0,7.5,296057,nan,nan
John Wick: Chapter 3 - Parabellum,2019,130,"Action, Crime, Thriller",171015687.0,7.5,250443,nan,nan
Shazam!,2019,132,"Action, Adventure, Comedy",140371656.0,7.1,234547,nan,nan
Jojo Rabbit,2019,108,"Comedy, Drama, War",349555.0,7.9,230288,nan,nan
Ford v Ferrari,2019,152,"Action, Biography, Drama",117624028.0,8.1,226708,nan,nan
Alita: Battle Angel,2019,122,"Action, Adventure, Sci-Fi",85710210.0,7.3,211659,nan,nan
Aladdin,2019,128,"Adventure, Family, Fantasy",355559216.0,7.0,209314,nan,nan
Us,2019,116,"Horror, Mystery, Thriller",175084580.0,6.9,203242,nan,nan
The Lion King,2019,118,"Animation, Adventure, Drama",543638043.0,6.9,194403,nan,nan
Glass,2019,129,"Drama, Sci-Fi, Thriller",111048468.0,6.7,193785,nan,nan
Toy Story 4,2019,100,"Animation, Adventure, Comedy",434038008.0,7.8,183135,nan,nan
It Chapter Two,2019,169,"Drama, Fantasy, Horror",211593228.0,6.6,181947,nan,nan
Ad Astra,2019,123,"Adventure, Drama, Mystery",35397514.0,6.6,172435,nan,nan
Midsommar,2019,148,"Drama, Horror, Mystery",27331977.0,7.1,162477,nan,nan
Fast & Furious Presents: Hobbs & Shaw,2019,137,"Action, Adventure, Thriller",173956935.0,6.4,153879,nan,nan
Jumanji: The Next Level,2019,123,"Action, Adventure, Comedy",316831246.0,6.7,153166,nan,nan
Dark Phoenix,2019,113,"Action, Adventure, Sci-Fi",65845974.0,5.8,141289,nan,nan
Pokémon Detective Pikachu,2019,104,"Adventure, Comedy, Family",144105346.0,6.6,127056,nan,nan
Terminator: Dark Fate,2019,128,"Action, Adventure, Sci-Fi",62253077.0,6.3,123745,nan,nan
Godzilla: King of the Monsters,2019,132,"Action, Adventure, Fantasy",110500138.0,6.0,121668,nan,nan
Rocketman,2019,121,"Biography, Drama, Music",96368160.0,7.3,118927,nan,nan
Zombieland: Double Tap,2019,99,"Action, Comedy, Horror",26803104.0,6.7,113823,nan,nan
Frozen II,2019,103,"Animation, Adventure, Comedy",477373578.0,6.9,112971,nan,nan
Little Women,2019,135,"Drama, Romance",108101214.0,7.9,111453,nan,nan
Bad Boys for Life,2020,124,"Action, Comedy, Crime",204417855.0,6.7,100705,nan,nan
Sonic the Hedgehog,2020,99,"Action, Adventure, Comedy",146066470.0,6.6,67833,nan,nan
Dolittle,2020,101,"Adventure, Comedy, Family",77047065.0,5.6,35877,nan,nan
